Area.Fished,Region_SWHS
Lake Creek (Yentna drainage),Susitna River
Peters Creek (Yentna drainage),Susitna River
Talachulitna River (Yentna drainage),Susitna River
Yentna River,Susitna River
Other streams - West Susitna drainage,Susitna River
Unspecified Sites - West Susitna drainages,Susitna River
Freshwater Total,Susitna River
Talkeetna River drainage (excl. Clear Creek),Susitna River
Kenai River - reach not specified (guided),Kenai Peninsula
Indian River,Susitna River
Other streams,Susitna River
Clear Creek (Chunilna Creek),Susitna River
Lakes - West Susitna drainage,Susitna River
Remainder of Yentna River drainage,Susitna River
Kenai River - reach not specified (non-guided),Kenai Peninsula
Streams and lakes - drainage not specified,Susitna River
Kenai River - Skilak Inlet to Kenai Lake (guided),Kenai Peninsula
Unspecified streams and lakes,Susitna River
Kenai River - Skilak Inlet to Kenai Lake (non-guided),Kenai Peninsula
Kenai River - Soldotna Bridge to Moose River (guided),Kenai Peninsula
Kenai River - Soldotna Bridge to Moose River (non-guided),Kenai Peninsula
Sites between North Forelands and Susitna drainage,West Cook Inlet
Other or unspecified streams,West Cook Inlet
Freshwater Total,West Cook Inlet
Kustatan River,West Cook Inlet
Silver Salmon Creek,West Cook Inlet
Other sites south of North Forelands,West Cook Inlet
Other lakes,West Cook Inlet
Kenai River - unspecified,Kenai Peninsula
Big River Lakes,West Cook Inlet
Lewis River,West Cook Inlet
Wolverine Creek mouth,West Cook Inlet
Little Susitna River,Knik Arm
Little Susitna River (reach unspecified),Knik Arm
FRESHWATER TOTAL,Knik Arm
Other Streams,Knik Arm
Other Lakes,Knik Arm
Fish Creek (Big Lake drainage),Knik Arm
Fish Creek,Knik Arm
Others,Knik Arm
FRESHWATER TOTAL,Anchorage
Little Susitna River above weir,Knik Arm
Little Susitna River below weir,Knik Arm
Twentymile River,Anchorage
Ninilchik River,Kenai Peninsula
Other lakes,Anchorage
Others,Anchorage
"Talkeetna River and Tributaries,
including Clear Creek",Susitna River
Other Streams,Susitna River
TOTAL,Susitna River
196 Mile Creek,Susitna River
Little Willow Creel,Susitna River
Troublesome Creek,Susitna River
Clear (Chunilna) Creek,Susitna River
Talkeetna River,Susitna River
Others,Susitna River
Lake Creek,West Cook Inlet
Fish Lake Creek and Fish Lakes (Yentna Drainage),West Cook Inlet
Talachulitna River,West Cook Inlet
Peters Creek,West Cook Inlet
Yentna River,West Cook Inlet
Susitna River,West Cook Inlet
Other Sites - Susitna River Drainages,West Cook Inlet
Other Sites - Susitna to North Forelands,West Cook Inlet
Other Sites - South of North Forelands,West Cook Inlet
Other Streams,West Cook Inlet
FRESHWATER TOTAL,West Cook Inlet
Other Sites - Susitna to West Forelands,West Cook Inlet
Other Sites - South of north Forelands,West Cook Inlet
Olsen Creek,West Cook Inlet
Rabideux Creek,West Cook Inlet
Bulchitna Lake,West Cook Inlet
Other lakes - Chulitna/East Susitna drainage,Susitna River
Beluga River,West Cook Inlet
Moose Creek,West Cook Inlet
Judd Lake,West Cook Inlet
Beluga Lake,West Cook Inlet
Other Lakes,West Cook Inlet
Other Rivers,West Cook Inlet
Theodore River,West Cook Inlet
Other Streams,Kenai Peninsula
FRESHWATER TOTAL,Kenai Peninsula
Stariski Creek,Kenai Peninsula
Other Lakes,Kenai Peninsula
Resurrection Creek drainage,Kenai Peninsula
Other Lake,Kenai Peninsula
Willow Creek,Susitna River
Swanson River,Kenai Peninsula
Quartz Creek,Kenai Peninsula
Swanson River Canoe Route Lakes,Kenai Peninsula
Sixmile Creek drainage,Kenai Peninsula
Russian River,Kenai Peninsula
Moose River,Kenai Peninsula
Other Rivers,Kenai Peninsula
