Area.Fished,Region.SWHS,ChinookHarvestTotal
Little Susitna River (reach unspecified),Knik Arm,48636
Little Susitna River above weir,Knik Arm,645
Little Susitna River below weir,Knik Arm,1487
Other lakes,Knik Arm,140
Other Lakes,Knik Arm,59
Other streams,Knik Arm,179
Other Streams,Knik Arm,20
Others,Knik Arm,247
Wasilla Creek (Rabbit Slough),Knik Arm,133
196 Mile Creek,Susitna River,178
Alexander Creek,Susitna River,8439
Alexander Creek/Lake,Susitna River,11027
Birch Creek,Susitna River,1835
Caswell Creek,Susitna River,8770
Chulitna River drainage,Susitna River,156
Clear (Chunilna) Creek,Susitna River,3880
Clear Creek (Chunilna Creek),Susitna River,5675
Deshka River (Kroto Creek) above weir,Susitna River,13295
Deshka River (Kroto Creek) below weir,Susitna River,63252
Deshka River (reach unspecified),Susitna River,1573
Fish Lake Creek and Fish Lakes,Susitna River,7086
Goose Creek,Susitna River,7430
Indian River,Susitna River,99
Kashwitna River,Susitna River,3094
Lake Creek (Yentna drainage),Susitna River,55500
Lakes - West Susitna drainage,Susitna River,102
Little Willow Creek,Susitna River,10483
Little Willow Creel,Susitna River,6383
Montana Creek,Susitna River,47809
Other lakes - Chulitna/East Susitna drainage,Susitna River,106
Other streams,Susitna River,365
Other Streams,Susitna River,1476
Other streams - Chulitna/east Susitna drainage,Susitna River,1843
Other streams - West Susitna drainage,Susitna River,543
Others,Susitna River,542
Peters Creek (Yentna drainage),Susitna River,1900
Remainder of Yentna River drainage,Susitna River,2588
Sheep Creek,Susitna River,31009
Streams and lakes - drainage not specified,Susitna River,182
Sunshine Creek,Susitna River,6143
Susitna River,Susitna River,6676
Talachulitna River (Yentna drainage),Susitna River,9256
Talkeetna River,Susitna River,192
"Talkeetna River and Tributaries,
including Clear Creek",Susitna River,4270
"Talkeetna River and Tributaries, including Clear Creek",Susitna River,42286
Talkeetna River drainage (excl. Clear Creek),Susitna River,9744
Troublesome Creek,Susitna River,9
Unspecified Sites - West Susitna drainages,Susitna River,2859
Unspecified streams and lakes,Susitna River,33
Willow Creek,Susitna River,86019
Yentna River,Susitna River,12188
Alexander Creek,West Cook Inlet,38041
Alexander Creek/Lake,West Cook Inlet,13565
Alexander Lake,West Cook Inlet,43
Beluga Lake,West Cook Inlet,35
Beluga River,West Cook Inlet,202
Big River Lakes,West Cook Inlet,722
Bulchitna Lake,West Cook Inlet,16
Chuit River,West Cook Inlet,237
Chuitna River,West Cook Inlet,15306
Deshka River (Kroto Creek),West Cook Inlet,82443
Fish Lake Creek and Fish Lakes (Yentna Drainage),West Cook Inlet,8314
Judd Lake,West Cook Inlet,6
Kustatan River,West Cook Inlet,1426
Lake Creek,West Cook Inlet,45462
Lewis River,West Cook Inlet,1049
Moose Creek,West Cook Inlet,125
Olsen Creek,West Cook Inlet,175
Other lakes,West Cook Inlet,346
Other Lakes,West Cook Inlet,174
Other or unspecified streams,West Cook Inlet,386
Other Rivers,West Cook Inlet,244
Other Sites - South of north Forelands,West Cook Inlet,100
Other Sites - South of North Forelands,West Cook Inlet,25
Other Sites - Susitna River Drainages,West Cook Inlet,1251
Other Sites - Susitna to North Forelands,West Cook Inlet,573
Other Sites - Susitna to West Forelands,West Cook Inlet,408
Other sites south of North Forelands,West Cook Inlet,2060
Other Streams,West Cook Inlet,8712
Peters Creek,West Cook Inlet,3272
Rabideux Creek,West Cook Inlet,90
Silver Salmon Creek,West Cook Inlet,785
Sites between North Forelands and Susitna drainage,West Cook Inlet,2930
Susitna River,West Cook Inlet,434
Talachulitna River,West Cook Inlet,7104
Theodore River,West Cook Inlet,10783
Wolverine Creek mouth,West Cook Inlet,31
Yentna River,West Cook Inlet,2831
