"","year","siteID","Covariate","Value","perName","fish.model"
"103",1992,"campbell","ASON_avg",73.55913978,"NF Campbell",1
"104",1993,"campbell","ASON_avg",107.5844085,"NF Campbell",1
"105",1994,"campbell","ASON_avg",62.82150531,"NF Campbell",1
"106",1995,"campbell","ASON_avg",37.3575269,"NF Campbell",1
"107",1996,"campbell","ASON_avg",70.34677437,"NF Campbell",1
"108",1997,"campbell","ASON_avg",67.61182789,"NF Campbell",1
"109",1998,"campbell","ASON_avg",41.17849469,"NF Campbell",1
"110",1999,"campbell","ASON_avg",70.87741949,"NF Campbell",1
"111",2000,"campbell","ASON_avg",67.08494622,"NF Campbell",1
"112",2001,"campbell","ASON_avg",50.65967723,"NF Campbell",1
"113",2002,"campbell","ASON_avg",74.39193547,"NF Campbell",1
"114",2003,"campbell","ASON_avg",63.40860208,"NF Campbell",1
"115",2004,"campbell","ASON_avg",98.6505376,"NF Campbell",1
"116",2005,"campbell","ASON_avg",72.60215067,"NF Campbell",1
"117",2006,"campbell","ASON_avg",61.16290324,"NF Campbell",1
"118",2007,"campbell","ASON_avg",79.08817181,"NF Campbell",1
"119",2008,"campbell","ASON_avg",62.50645169,"NF Campbell",1
"120",2009,"campbell","ASON_avg",65.0408605,"NF Campbell",1
"121",1980,"chuitna","ASON_avg",98.89424052,"Chuitna",1
"122",1981,"chuitna","ASON_avg",126.6416923,"Chuitna",1
"123",1982,"chuitna","ASON_avg",110.8679919,"Chuitna",1
"124",1983,"chuitna","ASON_avg",106.0930173,"Chuitna",1
"125",1984,"chuitna","ASON_avg",72.64882763,"Chuitna",1
"126",1985,"chuitna","ASON_avg",99.30453615,"Chuitna",1
"127",1986,"chuitna","ASON_avg",154.4095308,"Chuitna",1
"128",1987,"chuitna","ASON_avg",127.5502037,"Chuitna",1
"129",1988,"chuitna","ASON_avg",88.16386312,"Chuitna",1
"130",1989,"chuitna","ASON_avg",137.2148319,"Chuitna",1
"131",1990,"chuitna","ASON_avg",125.680428,"Chuitna",1
"132",1991,"chuitna","ASON_avg",82.06727817,"Chuitna",1
"133",1992,"chuitna","ASON_avg",142.8562692,"Chuitna",1
"134",1993,"chuitna","ASON_avg",181.0257389,"Chuitna",1
"135",1994,"chuitna","ASON_avg",105.3606015,"Chuitna",1
"136",1995,"chuitna","ASON_avg",67.56090729,"Chuitna",1
"137",1996,"chuitna","ASON_avg",78.6562183,"Chuitna",1
"138",1997,"chuitna","ASON_avg",129.3919469,"Chuitna",1
"139",1998,"chuitna","ASON_avg",79.24745149,"Chuitna",1
"140",1999,"chuitna","ASON_avg",110.6103463,"Chuitna",1
"141",2000,"chuitna","ASON_avg",136.5196229,"Chuitna",1
"142",2001,"chuitna","ASON_avg",91.66309902,"Chuitna",1
"143",2002,"chuitna","ASON_avg",123.1371049,"Chuitna",1
"144",2003,"chuitna","ASON_avg",96.85117199,"Chuitna",1
"145",2004,"chuitna","ASON_avg",151.8246683,"Chuitna",1
"146",2005,"chuitna","ASON_avg",115.2283384,"Chuitna",1
"147",2006,"chuitna","ASON_avg",90.72935762,"Chuitna",1
"148",2007,"chuitna","ASON_avg",146.5779819,"Chuitna",1
"149",2008,"chuitna","ASON_avg",91.42838957,"Chuitna",1
"150",2009,"chuitna","ASON_avg",96.65341427,"Chuitna",1
"151",1980,"crooked","ASON_avg",72.75378795,"Crooked",1
"152",1981,"crooked","ASON_avg",89.17361148,"Crooked",1
"153",1982,"crooked","ASON_avg",66.88699524,"Crooked",1
"154",1983,"crooked","ASON_avg",72.75126249,"Crooked",1
"155",1984,"crooked","ASON_avg",54.65404074,"Crooked",1
"156",1985,"crooked","ASON_avg",49.16603544,"Crooked",1
"157",1986,"crooked","ASON_avg",89.16982304,"Crooked",1
"158",1987,"crooked","ASON_avg",77.92613641,"Crooked",1
"159",1988,"crooked","ASON_avg",56.01957086,"Crooked",1
"160",1989,"crooked","ASON_avg",73.07007582,"Crooked",1
"161",1990,"crooked","ASON_avg",75.81881314,"Crooked",1
"162",1991,"crooked","ASON_avg",57.41856049,"Crooked",1
"163",1992,"crooked","ASON_avg",77.25631318,"Crooked",1
"164",1993,"crooked","ASON_avg",91.76515152,"Crooked",1
"165",1994,"crooked","ASON_avg",65.0656565,"Crooked",1
"166",1995,"crooked","ASON_avg",47.59154042,"Crooked",1
"167",1996,"crooked","ASON_avg",43.51515139,"Crooked",1
"168",1997,"crooked","ASON_avg",98.0984847,"Crooked",1
"169",1998,"crooked","ASON_avg",57.71085863,"Crooked",1
"170",1999,"crooked","ASON_avg",73.5334594,"Crooked",1
"171",2000,"crooked","ASON_avg",81.24494992,"Crooked",1
"172",2001,"crooked","ASON_avg",55.55681836,"Crooked",1
"173",2002,"crooked","ASON_avg",77.4507575,"Crooked",1
"174",2003,"crooked","ASON_avg",56.22474746,"Crooked",1
"175",2004,"crooked","ASON_avg",79.91287859,"Crooked",1
"176",2005,"crooked","ASON_avg",64.40972195,"Crooked",1
"177",2006,"crooked","ASON_avg",48.61868695,"Crooked",1
"178",2007,"crooked","ASON_avg",89.40909085,"Crooked",1
"179",2008,"crooked","ASON_avg",58.12563138,"Crooked",1
"180",2009,"crooked","ASON_avg",65.47790432,"Crooked",1
"181",1980,"deep","ASON_avg",90.85190984,"Deep",1
"182",1981,"deep","ASON_avg",111.1645834,"Deep",1
"183",1982,"deep","ASON_avg",76.07743049,"Deep",1
"184",1983,"deep","ASON_avg",93.1038197,"Deep",1
"185",1984,"deep","ASON_avg",60.35190977,"Deep",1
"186",1985,"deep","ASON_avg",52.71579872,"Deep",1
"187",1986,"deep","ASON_avg",104.1935762,"Deep",1
"188",1987,"deep","ASON_avg",96.47291653,"Deep",1
"189",1988,"deep","ASON_avg",64.37899302,"Deep",1
"190",1989,"deep","ASON_avg",80.91197941,"Deep",1
"191",1990,"deep","ASON_avg",93.18871536,"Deep",1
"192",1991,"deep","ASON_avg",67.22673602,"Deep",1
"193",1992,"deep","ASON_avg",96.40486119,"Deep",1
"194",1993,"deep","ASON_avg",104.3404509,"Deep",1
"195",1994,"deep","ASON_avg",81.33402776,"Deep",1
"196",1995,"deep","ASON_avg",51.9097222,"Deep",1
"197",1996,"deep","ASON_avg",46.01041667,"Deep",1
"198",1997,"deep","ASON_avg",127.3052085,"Deep",1
"199",1998,"deep","ASON_avg",74.34097208,"Deep",1
"200",1999,"deep","ASON_avg",88.44496528,"Deep",1
"201",2000,"deep","ASON_avg",105.5567708,"Deep",1
"202",2001,"deep","ASON_avg",70.81111109,"Deep",1
"203",2002,"deep","ASON_avg",89.21597212,"Deep",1
"204",2003,"deep","ASON_avg",64.48055548,"Deep",1
"205",2004,"deep","ASON_avg",94.57465272,"Deep",1
"206",2005,"deep","ASON_avg",73.85937481,"Deep",1
"207",2006,"deep","ASON_avg",51.04565975,"Deep",1
"208",2007,"deep","ASON_avg",113.2901039,"Deep",1
"209",2008,"deep","ASON_avg",68.76545142,"Deep",1
"210",2009,"deep","ASON_avg",83.04461803,"Deep",1
"211",1980,"deshka","ASON_avg",53.86750753,"Deshka",1
"212",1981,"deshka","ASON_avg",80.3107507,"Deshka",1
"213",1982,"deshka","ASON_avg",86.12318331,"Deshka",1
"214",1983,"deshka","ASON_avg",60.06966963,"Deshka",1
"215",1984,"deshka","ASON_avg",45.63939946,"Deshka",1
"216",1985,"deshka","ASON_avg",71.0292492,"Deshka",1
"217",1986,"deshka","ASON_avg",112.2382584,"Deshka",1
"218",1987,"deshka","ASON_avg",76.24384381,"Deshka",1
"219",1988,"deshka","ASON_avg",65.99669666,"Deshka",1
"220",1989,"deshka","ASON_avg",106.814174,"Deshka",1
"221",1990,"deshka","ASON_avg",84.31111107,"Deshka",1
"222",1991,"deshka","ASON_avg",55.37153162,"Deshka",1
"223",1992,"deshka","ASON_avg",103.2037838,"Deshka",1
"224",1993,"deshka","ASON_avg",142.9506906,"Deshka",1
"225",1994,"deshka","ASON_avg",78.06648649,"Deshka",1
"226",1995,"deshka","ASON_avg",37.42996995,"Deshka",1
"227",1996,"deshka","ASON_avg",66.53994,"Deshka",1
"228",1997,"deshka","ASON_avg",71.18852854,"Deshka",1
"229",1998,"deshka","ASON_avg",44.8663664,"Deshka",1
"230",1999,"deshka","ASON_avg",59.96654663,"Deshka",1
"231",2000,"deshka","ASON_avg",92.34180197,"Deshka",1
"232",2001,"deshka","ASON_avg",60.529009,"Deshka",1
"233",2002,"deshka","ASON_avg",79.48354352,"Deshka",1
"234",2003,"deshka","ASON_avg",70.83741737,"Deshka",1
"235",2004,"deshka","ASON_avg",115.9700903,"Deshka",1
"236",2005,"deshka","ASON_avg",83.68174166,"Deshka",1
"237",2006,"deshka","ASON_avg",66.32036038,"Deshka",1
"238",2007,"deshka","ASON_avg",77.01057054,"Deshka",1
"239",2008,"deshka","ASON_avg",64.16054059,"Deshka",1
"240",2009,"deshka","ASON_avg",56.24336335,"Deshka",1
"241",1980,"kenai_early","ASON_avg",131.898459,"Kenai_early",NA
"242",1981,"kenai_early","ASON_avg",168.392717,"Kenai_early",NA
"243",1982,"kenai_early","ASON_avg",128.9847387,"Kenai_early",NA
"244",1983,"kenai_early","ASON_avg",120.5093684,"Kenai_early",NA
"245",1984,"kenai_early","ASON_avg",87.0439709,"Kenai_early",NA
"246",1985,"kenai_early","ASON_avg",75.53339389,"Kenai_early",NA
"247",1986,"kenai_early","ASON_avg",154.1681779,"Kenai_early",NA
"248",1987,"kenai_early","ASON_avg",137.3170141,"Kenai_early",NA
"249",1988,"kenai_early","ASON_avg",103.9824719,"Kenai_early",NA
"250",1989,"kenai_early","ASON_avg",136.5407978,"Kenai_early",NA
"251",1990,"kenai_early","ASON_avg",126.6976432,"Kenai_early",NA
"252",1991,"kenai_early","ASON_avg",120.9218799,"Kenai_early",NA
"253",1992,"kenai_early","ASON_avg",137.4678153,"Kenai_early",NA
"254",1993,"kenai_early","ASON_avg",158.9253556,"Kenai_early",NA
"255",1994,"kenai_early","ASON_avg",115.868389,"Kenai_early",NA
"256",1995,"kenai_early","ASON_avg",74.8738289,"Kenai_early",NA
"257",1996,"kenai_early","ASON_avg",82.62224253,"Kenai_early",NA
"258",1997,"kenai_early","ASON_avg",159.427621,"Kenai_early",NA
"259",1998,"kenai_early","ASON_avg",93.2231794,"Kenai_early",NA
"260",1999,"kenai_early","ASON_avg",131.4285282,"Kenai_early",NA
"261",2000,"kenai_early","ASON_avg",137.703989,"Kenai_early",NA
"262",2001,"kenai_early","ASON_avg",97.99456038,"Kenai_early",NA
"263",2002,"kenai_early","ASON_avg",133.7881536,"Kenai_early",NA
"264",2003,"kenai_early","ASON_avg",105.1711997,"Kenai_early",NA
"265",2004,"kenai_early","ASON_avg",159.3939255,"Kenai_early",NA
"266",2005,"kenai_early","ASON_avg",119.3052285,"Kenai_early",NA
"267",2006,"kenai_early","ASON_avg",92.43729223,"Kenai_early",NA
"268",2007,"kenai_early","ASON_avg",161.6610759,"Kenai_early",NA
"269",2008,"kenai_early","ASON_avg",112.2601992,"Kenai_early",NA
"270",2009,"kenai_early","ASON_avg",118.3251737,"Kenai_early",NA
"271",1980,"kenai_late","ASON_avg",141.6257946,"Kenai_late",1
"272",1981,"kenai_late","ASON_avg",181.4522481,"Kenai_late",1
"273",1982,"kenai_late","ASON_avg",138.518314,"Kenai_late",1
"274",1983,"kenai_late","ASON_avg",124.0820736,"Kenai_late",1
"275",1984,"kenai_late","ASON_avg",90.90833328,"Kenai_late",1
"276",1985,"kenai_late","ASON_avg",76.65831402,"Kenai_late",1
"277",1986,"kenai_late","ASON_avg",162.4617636,"Kenai_late",1
"278",1987,"kenai_late","ASON_avg",146.235407,"Kenai_late",1
"279",1988,"kenai_late","ASON_avg",111.9683721,"Kenai_late",1
"280",1989,"kenai_late","ASON_avg",151.318314,"Kenai_late",1
"281",1990,"kenai_late","ASON_avg",134.0291279,"Kenai_late",1
"282",1991,"kenai_late","ASON_avg",136.8454457,"Kenai_late",1
"283",1992,"kenai_late","ASON_avg",154.8341474,"Kenai_late",1
"284",1993,"kenai_late","ASON_avg",174.0459691,"Kenai_late",1
"285",1994,"kenai_late","ASON_avg",125.7027714,"Kenai_late",1
"286",1995,"kenai_late","ASON_avg",76.21637603,"Kenai_late",1
"287",1996,"kenai_late","ASON_avg",87.44903101,"Kenai_late",1
"288",1997,"kenai_late","ASON_avg",164.054535,"Kenai_late",1
"289",1998,"kenai_late","ASON_avg",94.65501937,"Kenai_late",1
"290",1999,"kenai_late","ASON_avg",140.0027713,"Kenai_late",1
"291",2000,"kenai_late","ASON_avg",146.159651,"Kenai_late",1
"292",2001,"kenai_late","ASON_avg",106.0995542,"Kenai_late",1
"293",2002,"kenai_late","ASON_avg",139.9622093,"Kenai_late",1
"294",2003,"kenai_late","ASON_avg",115.4896512,"Kenai_late",1
"295",2004,"kenai_late","ASON_avg",186.5023451,"Kenai_late",1
"296",2005,"kenai_late","ASON_avg",131.9743994,"Kenai_late",1
"297",2006,"kenai_late","ASON_avg",102.3914923,"Kenai_late",1
"298",2007,"kenai_late","ASON_avg",158.7156783,"Kenai_late",1
"299",2008,"kenai_late","ASON_avg",124.5120543,"Kenai_late",1
"300",2009,"kenai_late","ASON_avg",126.9929264,"Kenai_late",1
"301",1980,"lewis","ASON_avg",85.27890015,"Lewis",NA
"302",1981,"lewis","ASON_avg",111.9118967,"Lewis",NA
"303",1982,"lewis","ASON_avg",105.6694729,"Lewis",NA
"304",1983,"lewis","ASON_avg",90.65768787,"Lewis",NA
"305",1984,"lewis","ASON_avg",65.60718283,"Lewis",NA
"306",1985,"lewis","ASON_avg",88.46801357,"Lewis",NA
"307",1986,"lewis","ASON_avg",146.1526374,"Lewis",NA
"308",1987,"lewis","ASON_avg",110.0746354,"Lewis",NA
"309",1988,"lewis","ASON_avg",84.14870956,"Lewis",NA
"310",1989,"lewis","ASON_avg",128.5409651,"Lewis",NA
"311",1990,"lewis","ASON_avg",111.6554431,"Lewis",NA
"312",1991,"lewis","ASON_avg",73.18406287,"Lewis",NA
"313",1992,"lewis","ASON_avg",134.5914703,"Lewis",NA
"314",1993,"lewis","ASON_avg",177.3759819,"Lewis",NA
"315",1994,"lewis","ASON_avg",100.5336706,"Lewis",NA
"316",1995,"lewis","ASON_avg",57.32772152,"Lewis",NA
"317",1996,"lewis","ASON_avg",75.79685734,"Lewis",NA
"318",1997,"lewis","ASON_avg",113.0774405,"Lewis",NA
"319",1998,"lewis","ASON_avg",60.01346821,"Lewis",NA
"320",1999,"lewis","ASON_avg",90.20314301,"Lewis",NA
"321",2000,"lewis","ASON_avg",125.0959594,"Lewis",NA
"322",2001,"lewis","ASON_avg",81.2884401,"Lewis",NA
"323",2002,"lewis","ASON_avg",110.6661058,"Lewis",NA
"324",2003,"lewis","ASON_avg",93.29461359,"Lewis",NA
"325",2004,"lewis","ASON_avg",151.8439955,"Lewis",NA
"326",2005,"lewis","ASON_avg",105.1649835,"Lewis",NA
"327",2006,"lewis","ASON_avg",80.15656539,"Lewis",NA
"328",2007,"lewis","ASON_avg",125.0589226,"Lewis",NA
"329",2008,"lewis","ASON_avg",84.71492753,"Lewis",NA
"330",2009,"lewis","ASON_avg",82.15432096,"Lewis",NA
"331",1980,"little_susitna","ASON_avg",54.85104224,"Little Susitna",1
"332",1981,"little_susitna","ASON_avg",85.40232411,"Little Susitna",1
"333",1982,"little_susitna","ASON_avg",77.2245896,"Little Susitna",1
"334",1983,"little_susitna","ASON_avg",57.23012358,"Little Susitna",1
"335",1984,"little_susitna","ASON_avg",39.04639363,"Little Susitna",1
"336",1985,"little_susitna","ASON_avg",56.21905555,"Little Susitna",1
"337",1986,"little_susitna","ASON_avg",84.08623873,"Little Susitna",1
"338",1987,"little_susitna","ASON_avg",61.5255488,"Little Susitna",1
"339",1988,"little_susitna","ASON_avg",60.61437012,"Little Susitna",1
"340",1989,"little_susitna","ASON_avg",84.23390531,"Little Susitna",1
"341",1990,"little_susitna","ASON_avg",66.98016986,"Little Susitna",1
"342",1991,"little_susitna","ASON_avg",65.14932666,"Little Susitna",1
"343",1992,"little_susitna","ASON_avg",76.02905372,"Little Susitna",1
"344",1993,"little_susitna","ASON_avg",113.284357,"Little Susitna",1
"345",1994,"little_susitna","ASON_avg",61.73602657,"Little Susitna",1
"346",1995,"little_susitna","ASON_avg",33.86487738,"Little Susitna",1
"347",1996,"little_susitna","ASON_avg",61.55838415,"Little Susitna",1
"348",1997,"little_susitna","ASON_avg",62.59952032,"Little Susitna",1
"349",1998,"little_susitna","ASON_avg",38.99566498,"Little Susitna",1
"350",1999,"little_susitna","ASON_avg",59.42095554,"Little Susitna",1
"351",2000,"little_susitna","ASON_avg",69.56954455,"Little Susitna",1
"352",2001,"little_susitna","ASON_avg",47.1767201,"Little Susitna",1
"353",2002,"little_susitna","ASON_avg",70.36727545,"Little Susitna",1
"354",2003,"little_susitna","ASON_avg",60.37428516,"Little Susitna",1
"355",2004,"little_susitna","ASON_avg",90.87585314,"Little Susitna",1
"356",2005,"little_susitna","ASON_avg",67.19839515,"Little Susitna",1
"357",2006,"little_susitna","ASON_avg",56.84089651,"Little Susitna",1
"358",2007,"little_susitna","ASON_avg",72.41071758,"Little Susitna",1
"359",2008,"little_susitna","ASON_avg",55.95775684,"Little Susitna",1
"360",2009,"little_susitna","ASON_avg",55.49963101,"Little Susitna",1
"361",1980,"little_willow","ASON_avg",61.66595264,"Little Willow",1
"362",1981,"little_willow","ASON_avg",98.39190495,"Little Willow",1
"363",1982,"little_willow","ASON_avg",92.66619042,"Little Willow",1
"364",1983,"little_willow","ASON_avg",66.51619049,"Little Willow",1
"365",1984,"little_willow","ASON_avg",44.28619036,"Little Willow",1
"366",1985,"little_willow","ASON_avg",68.97595232,"Little Willow",1
"367",1986,"little_willow","ASON_avg",102.635238,"Little Willow",1
"368",1987,"little_willow","ASON_avg",75.93499998,"Little Willow",1
"369",1988,"little_willow","ASON_avg",71.52404742,"Little Willow",1
"370",1989,"little_willow","ASON_avg",103.545952,"Little Willow",1
"371",1990,"little_willow","ASON_avg",83.1964285,"Little Willow",1
"372",1991,"little_willow","ASON_avg",72.43523821,"Little Willow",1
"373",1992,"little_willow","ASON_avg",100.7211906,"Little Willow",1
"374",1993,"little_willow","ASON_avg",145.5966669,"Little Willow",1
"375",1994,"little_willow","ASON_avg",79.59833342,"Little Willow",1
"376",1995,"little_willow","ASON_avg",38.17357143,"Little Willow",1
"377",1996,"little_willow","ASON_avg",74.19880953,"Little Willow",1
"378",1997,"little_willow","ASON_avg",73.99309527,"Little Willow",1
"379",1998,"little_willow","ASON_avg",46.64523821,"Little Willow",1
"380",1999,"little_willow","ASON_avg",65.06357118,"Little Willow",1
"381",2000,"little_willow","ASON_avg",89.95309526,"Little Willow",1
"382",2001,"little_willow","ASON_avg",59.24023799,"Little Willow",1
"383",2002,"little_willow","ASON_avg",83.61904735,"Little Willow",1
"384",2003,"little_willow","ASON_avg",74.26595223,"Little Willow",1
"385",2004,"little_willow","ASON_avg",112.7750001,"Little Willow",1
"386",2005,"little_willow","ASON_avg",79.7307143,"Little Willow",1
"387",2006,"little_willow","ASON_avg",65.23690475,"Little Willow",1
"388",2007,"little_willow","ASON_avg",84.45952391,"Little Willow",1
"389",2008,"little_willow","ASON_avg",67.28714296,"Little Willow",1
"390",2009,"little_willow","ASON_avg",66.84214281,"Little Willow",1
"391",1980,"montana","ASON_avg",66.97134328,"Montana",1
"392",1981,"montana","ASON_avg",95.17881705,"Montana",1
"393",1982,"montana","ASON_avg",95.63778065,"Montana",1
"394",1983,"montana","ASON_avg",80.17812942,"Montana",1
"395",1984,"montana","ASON_avg",54.07794591,"Montana",1
"396",1985,"montana","ASON_avg",83.3739112,"Montana",1
"397",1986,"montana","ASON_avg",107.350298,"Montana",1
"398",1987,"montana","ASON_avg",79.38468589,"Montana",1
"399",1988,"montana","ASON_avg",77.72466768,"Montana",1
"400",1989,"montana","ASON_avg",114.9082989,"Montana",1
"401",1990,"montana","ASON_avg",88.40508948,"Montana",1
"402",1991,"montana","ASON_avg",66.42411721,"Montana",1
"403",1992,"montana","ASON_avg",101.7689133,"Montana",1
"404",1993,"montana","ASON_avg",156.3759744,"Montana",1
"405",1994,"montana","ASON_avg",78.52453006,"Montana",1
"406",1995,"montana","ASON_avg",45.15474562,"Montana",1
"407",1996,"montana","ASON_avg",75.78771184,"Montana",1
"408",1997,"montana","ASON_avg",77.90852827,"Montana",1
"409",1998,"montana","ASON_avg",58.11233384,"Montana",1
"410",1999,"montana","ASON_avg",70.94108203,"Montana",1
"411",2000,"montana","ASON_avg",88.68615323,"Montana",1
"412",2001,"montana","ASON_avg",59.32691418,"Montana",1
"413",2002,"montana","ASON_avg",96.36244833,"Montana",1
"414",2003,"montana","ASON_avg",80.26593295,"Montana",1
